"","ID_GEN","OBJECTID","UBIGEO_DPTO","DEPARTAMENTO","UBIGEO_PROV","PROVINCIA","UBIGEO_DIST","DISTRITO","NOTIF_CORREO_ENV","PTOCRIT_INEXISTENTE","PTOCRIT_EXISTENTE","REALIZO_LIMP","PROGRAMO_LIMP","FECHA_TOMA","HORA_FOTO","DIF_DIA","DIF_HORA","LONGITUD","LATITUD","ESTADO_ALERTA","ENTIDAD_FISC_AMB","TIPO_EFA"
"1",1,64370,"10","HUANUCO","1001","HUANUCO","100102","AMARILIS",NA,NA,NA,NA,NA,"24/08/2021","12:24:18",0,3,-76.20664497,-9.88762596,"Alerta no válida","Municipalidad Distrital de Amarilis","Local"
"2",2,48067,"10","HUANUCO","1001","HUANUCO","100102","AMARILIS",1,NA,NA,NA,NA,"17/06/2021","12:05:21",0,1,-76.25060703,-9.94228965,"Alerta válida","Municipalidad Distrital de Amarilis","Local"
"3",3,50007,"15","LIMA","1505","CAÑETE","150502","ASIA",NA,NA,NA,NA,NA,"25/06/2021","17:31:31",0,0,-76.56814701,-12.80125036,"Alerta no válida","Municipalidad Distrital de Asia","Local"
"4",4,45797,"15","LIMA","1501","LIMA","150106","CARABAYLLO",NA,NA,NA,NA,NA,"06/06/2021","14:19:06",0,18,-77.0198205,-11.8805325,"Alerta no válida","Municipalidad Distrital de Carabayllo","Local"
"5",5,45153,"15","LIMA","1501","LIMA","150111","EL AGUSTINO",NA,NA,NA,NA,NA,"28/05/2021","11:44:28",0,5,-76.97903155,-12.05493426,"Alerta no válida","Municipalidad Distrital de El Agustino","Local"
"6",6,78802,"01","AMAZONAS","0107","UTCUBAMBA","010704","EL MILAGRO",NA,NA,NA,NA,NA,"29/10/2021","10:11:03",0,2,-78.561255,-5.63646167,"Alerta válida","Municipalidad Distrital de El Milagro","Local"
"7",7,63394,"09","HUANCAVELICA","0903","ANGARAES","090306","CONGALLA",NA,NA,NA,NA,NA,"20/08/2021","15:42:30",0,1,-74.49205277,-12.95643269,"Alerta no válida","Municipalidad Distrital de Congalla","Local"
"8",8,58918,"15","LIMA","1505","CAÑETE","150507","IMPERIAL",NA,NA,NA,NA,NA,"01/08/2021","16:33:52",0,17,-76.35476802,-13.05827324,"Alerta no válida","Municipalidad Distrital de Imperial","Local"
"9",9,80070,"15","LIMA","1501","LIMA","150117","LOS OLIVOS",NA,NA,NA,NA,NA,"06/11/2021","17:11:38",1,41,-77.07075934,-12.00561355,"Alerta válida","Municipalidad Distrital de Los Olivos","Local"
"10",10,45171,"04","AREQUIPA","0401","AREQUIPA","040109","MARIANO MELGAR",NA,NA,NA,NA,NA,"28/05/2021","12:01:22",0,5,-71.50963732,-16.4066478,"Alerta no válida","Municipalidad Distrital de Mariano Melgar","Local"
"11",11,59555,"15","LIMA","1501","LIMA","150122","MIRAFLORES",NA,NA,NA,NA,NA,"05/08/2021","13:21:22",0,2,-77.0329183,-12.1135667,"Alerta no válida","Municipalidad Distrital de Miraflores","Local"
"12",12,55073,"22","SAN MARTIN","2209","SAN MARTIN","220910","MORALES",1,NA,NA,NA,NA,"16/07/2021","06:34:21",0,2,-76.38242207,-6.46809407,"Alerta válida","Municipalidad Distrital de Morales","Local"
"13",13,73638,"22","SAN MARTIN","2209","SAN MARTIN","220910","MORALES",1,NA,NA,NA,NA,"29/09/2021","11:13:15",0,1,-76.37677987,-6.47118753,"Alerta válida","Municipalidad Distrital de Morales","Local"
"14",14,56674,"02","ANCASH","0218","SANTA","021809","NUEVO CHIMBOTE",1,"N",NA,NA,NA,"24/07/2021","10:05:56",80,1925,-78.51052088,-9.11470127,"Atención ejecutada por Municipalidad","Municipalidad Distrital de Nuevo Chimbote","Local"
"15",15,61498,"02","ANCASH","0218","SANTA","021809","NUEVO CHIMBOTE",1,"N",NA,NA,NA,"14/08/2021","17:24:01",58,1414,-78.5138651,-9.1140762,"Atención ejecutada por Municipalidad","Municipalidad Distrital de Nuevo Chimbote","Local"
"16",16,60849,"08","CUSCO","0801","CUSCO","080104","SAN JERONIMO",1,NA,NA,NA,NA,"11/08/2021","09:49:05",0,1,-71.90312443,-13.53293296,"Alerta válida","Municipalidad Distrital de San Jeronimo","Local"
"17",17,69801,"08","CUSCO","0801","CUSCO","080104","SAN JERONIMO",1,NA,NA,NA,NA,"15/09/2021","12:12:41",0,2,-71.9029848,-13.5328724,"Alerta válida","Municipalidad Distrital de San Jeronimo","Local"
"18",18,42914,"15","LIMA","1501","LIMA","150123","PACHACAMAC",1,"S","S","S","S","03/05/2021","14:21:56",8,192,-76.86020065,-12.22778218,"Atención ejecutada por Municipalidad","Municipalidad Distrital de Pachacamac","Local"
